Date,Stress_Level,Phone_Pickups,Sleep,Hours_Work,Excersise,Day_of_Week
2025-04-25,2,17,7.5,5,15,Friday
2025-04-25,8,47,7.5,5,110,Friday
2025-04-26,2,14,7.2,0,40,Saturday
2025-04-26,1,23,7.2,1,40,Saturday
2025-04-27,2,19,7.1,0,5,Sunday
2025-04-27,2,31,7.1,2,5,Sunday
2025-04-28,3,24,7,1,0,Monday
2025-04-28,4,29,7,1,80,Monday
2025-04-29,6,37,6.9,2,30,Tuesday
2025-04-29,6,57,6.9,3,35,Tuesday
2025-04-30,2,16,6.5,3,0,Wednesday
2025-04-30,3,18,6.5,3,115,Wednesday
2025-05-01,5,32,6.1,1,70,Thursday
2025-05-01,5,44,6.1,3,70,Thursday
2025-05-02,2,19,7,5,5,Friday
2025-05-02,2,32,7,5,5,Friday
2025-05-03,4,16,8.2,2,15,Saturday
2025-05-03,1,33,8.2,2,25,Saturday
2025-05-04,3,20,6.4,2,20,Sunday
2025-05-04,3,22,6.4,3,20,Sunday
2025-05-05,4,23,6.7,1,30,Monday
2025-05-05,5,30,6.7,3,30,Monday
2025-05-06,5,28,7,6,10,Tuesday
2025-05-06,4,40,7,6,15,Tuesday
2025-05-07,3,18,8.1,0,20,Wednesday
2025-05-07,5,32,8.1,3,60,Wednesday
2025-05-08,4,27,6.2,3,5,Thursday
2025-05-08,6,35,6.2,4,25,Thursday
2025-05-09,1,12,5.7,3,25,Friday
2025-05-09,3,18,5.7,3,25,Friday
2025-05-10,2,14,6.5,3,30,Saturday
2025-05-10,1,27,6.5,3,30,Saturday
2025-05-11,2,16,7.9,1,0,Sunday
2025-05-11,1,23,7.9,2,105,Sunday
2025-05-12,4,28,6.9,3,110,Monday
2025-05-12,4,41,6.9,3,110,Monday
2025-05-13,7,42,6.1,3,15,Tuesday
2025-05-13,4,61,6.1,3,15,Tuesday
2025-05-14,2,19,7.2,1,30,Wednesday
2025-05-14,3,24,7.2,3,30,Wednesday
2025-05-15,5,32,7.9,4,5,Thursday
2025-05-15,5,51,7.9,4,20,Thursday
2025-05-16,2,19,7.8,3,0,Friday
2025-05-16,3,24,7.8,3,95,Friday
2025-05-17,1,12,7.5,0,10,Saturday
2025-05-17,2,15,7.5,1,30,Saturday
2025-05-18,1,14,7,2,15,Sunday
2025-05-18,2,19,7,2,25,Sunday
2025-05-19,3,18,7.4,4,25,Monday
2025-05-19,2,34,7.4,5,25,Monday
2025-05-20,5,28,8.7,4,115,Tuesday
2025-05-20,5,32,8.7,4,115,Tuesday
2025-05-21,3,22,4.4,1,105,Wednesday
2025-05-21,3,30,4.4,2,105,Wednesday
2025-05-22,3,20,7.9,3,25,Thursday
2025-05-22,4,26,7.9,3,100,Thursday
2025-05-23,2,16,8.3,1,0,Friday
2025-05-23,2,27,8.3,3,5,Friday
2025-05-24,1,10,6.5,4,0,Saturday
2025-05-24,2,17,6.5,4,15,Saturday
2025-05-25,4,26,7.6,3,15,Sunday
2025-05-25,2,39,7.6,3,15,Sunday